 ------------------------------------------------------------------------------
 ----- WATER ------------------------------------------------------------------
 ------------------------------------------------------------------------------
User:	rlulery
Date:	6/26/2013 10:38:27 AM
StationID:	0
Date	Discharge (cfs)	Subsurface Flow (cfs)	Impervious Flow (mm)	Infiltration Excess (mm)	Initial Abstracted Flow (mm)	Overland Flow (mm)	PET (mm)	AET(mm)	Average Soil Root zone (mm)	Average Soil Upperzone (mm)	Snow Pack (mm)	Precipitation (mm)
8/20/2001	37.4739454435662	13.0808213844361	4.07430474613513E-50	0	0	0	2.76350727081197	0.0191588254996474	0	0.00312252206165824	0	0
8/21/2001	37.4119128779973	13.0657746672419	1.84973149305612E-54	0	0	0	2.61754871920156	0.0181469263769488	0	0.00193176318892727	0	0
8/22/2001	37.3495982635959	13.0504368081937	8.39776798641505E-59	0	0	0	2.61980372394445	0.0181625612652177	0	0.00119731981135619	0	0
8/23/2001	38.818486632568	13.0314497394183	0.0071757022656626	0.000734813911238208	0.0379640102539654	0	2.66782941348889	2.66782941348889	1.89399235762792	0.325560526551216	0	5.000755
8/24/2001	37.2683990479391	13.0279296180224	3.25776378857167E-07	0	0	0	2.68977302395375	1.86572041573926	0	0.193168080598219	0	0
8/25/2001	42.9774479206587	13.0206594706962	0.0197406759109737	0.00966807691596831	0.0594969924762279	0	2.76609181565287	2.76609181565287	3.31293900954228	0.736405649079285	0	6.861293946
8/26/2001	180.397776114725	13.0394795503381	0.196383379683479	0.538044262560671	0.139590635892384	0	2.75931419000293	2.75931419000293	16.8825607486774	3.10692953290013	0	20.123506537
8/27/2001	37.5037655897218	13.0690091912432	8.91579164415668E-06	0	0	0	2.80061251409144	2.74642304029181	14.0819515283481	1.84172002361918	0	0
8/28/2001	37.8156068788311	13.1339857767001	4.0477631442183E-10	0	0	0	2.78309736997688	2.7292468010683	11.2988573108495	1.10114814272876	0	0
8/29/2001	37.9867752285826	13.1790245071169	1.83768162442755E-14	0	0	0	2.77414394447937	2.76922622468649	11.0447054644808	0.662421758798862	0	2.5199890772
8/30/2001	38.0715837689126	13.2090249177806	8.34306166749655E-19	0	0	0	2.86277787382494	2.81043586605744	8.33957627162049	0.400453351625529	0	0.15764569
8/31/2001	38.1030602960064	13.2276735414377	3.78774413708675E-23	0	0	0	2.97432225145975	2.94505399100374	6.8269421450756	0.243078718431058	0	1.46168515
9/1/2001	38.1011158939705	13.2377478463699	1.71963317782249E-27	0	0	0	2.8560927680789	2.80082980750524	3.97085210519629	0.14807187779325	0	0
9/2/2001	38.0779356750286	13.2413422102501	7.80712254904833E-32	0	0	0	2.76120848085544	2.70778145215436	1.20964613660979	0.0904786015870004	0	0
9/3/2001	38.0410820565584	13.2400372090683	3.54442815373614E-36	0	0	0	2.70434285297405	1.44664923255973	0	0.0554403620311119	0	0.25325626
9/4/2001	37.9953143901443	13.2350267031078	1.60916789227759E-40	0	0	0	2.65017860608406	0.0183731638668127	0	0.0340566228927872	0	0
9/5/2001	37.9436705341379	13.227213294814	7.30561092854487E-45	0	0	0	2.59538195819975	0.0179932711358569	0	0.0209692028710713	0	0
9/6/2001	37.8881175508258	13.2172800525366	3.31674223028481E-49	0	0	0	2.51652730111783	0.0174465889042611	0	0.0129387440398777	0	0
9/7/2001	42.1964349413711	13.204449286766	0.0186156032605439	0.00381296541539831	0.0580149527340358	0	2.52617575573583	2.52617575573583	3.20726283146093	0.597755020193513	0	6.48663341
9/8/2001	37.8333063114961	13.2052524641192	8.45147080514883E-07	0	0	0	2.5705882506231	2.52106295497015	0.647704282801422	0.354291686033088	0	0.0110280843
9/9/2001	52.1954383508076	13.2117193534335	0.0548669127087232	0.0187050660762452	0.0902765795918273	0	2.53584099809869	2.53584099809869	6.70114978154394	1.40523095611062	0	10.03726224
9/10/2001	37.9211107259172	13.2223620747123	2.4909539832597E-06	0	0	0	2.35985284270117	2.31419171596396	4.3412981958293	0.833587506120368	0	0
9/11/2001	38.0299849002358	13.2455235301411	1.13089135881633E-10	0	0	0	2.30337970445934	2.25881128608051	2.03791960563364	0.498758961611268	0	0
9/12/2001	38.0735055504177	13.2588555141892	5.13423882593079E-15	0	0	0	2.27200097713844	2.01191721722545	0	0.300258989266411	0	0
9/13/2001	38.0773258504798	13.2648096520944	2.33094082081068E-19	0	0	0	2.18743702181526	0.0151650804612856	0	0.181643830390387	0	0
9/14/2001	38.056697613699	13.2652162990898	1.0582454954521E-23	0	0	0	2.05564007659829	0.018098132080912	0	0.110334199033731	0	0.0038736283
9/15/2001	38.0207734422996	13.2614466180272	4.80442711649591E-28	0	0	0	1.91265444867003	0.0132600682156335	0	0.067253741753048	0	0
9/16/2001	37.9751478426901	13.2545303062541	2.18120653637736E-32	0	0	0	1.82198360101458	0.0126314657508489	0	0.0411203550078489	0	0
9/17/2001	37.9232960726758	13.2452421915247	9.90266235490588E-37	0	0	0	1.70674746658781	0.0118325566966131	0	0.0252110810967171	0	0
9/18/2001	37.8674101472148	13.2341663462268	4.49580175374643E-41	0	0	0	1.6378822245022	0.0113551281345346	0	0.0154956520934638	0	0
9/19/2001	98.2236694613228	13.2308383413405	0.133955869169091	0.175448400816268	0.124010413762794	0	1.59333694785329	1.59333694785329	10.5686636775996	1.98860480682762	0	14.925838923
9/20/2001	37.9564655467839	13.2486764220568	6.08158705155265E-06	0	0	0	1.60372621269963	1.57269549878914	8.96493750710831	1.17783479127005	0	0
9/21/2001	38.1331250705798	13.2836721839637	2.76103624984787E-10	0	0	0	1.62015674806385	1.58880811873994	7.34478071625058	0.703855116217333	0	0
9/22/2001	38.2185464917752	13.3058970930901	1.25350851814705E-14	0	0	0	1.6085462519294	1.57742227686831	5.73623433640472	0.423273881354024	0	0
9/23/2001	38.2954908183406	13.3211311633037	0.000247711068553199	0	0.00756857338780918	0	1.6360660003744	1.6360660003744	6.06505338902143	0.34017830800817	0	2.04002685
9/24/2001	38.2428038403191	13.323122164905	1.12460651137127E-08	0	0	0	1.64657144099026	1.61747070405474	4.56107148633984	0.205363108911785	0	0.142589846
9/25/2001	38.2273641583887	13.3251740805831	5.1057056626697E-13	0	0	0	1.60155298108859	1.57056432345623	2.95951811911737	0.1245591850774	0	0
9/26/2001	38.1945385948897	13.3226130646507	2.31798678473085E-17	0	0	0	1.54140037404507	1.51157561826044	1.41811728927769	0.0758386573818777	0	0
9/27/2001	38.1507289174102	13.3165753158387	1.05236437217227E-21	0	0	0	1.47339462579952	1.36988195812754	0.0559082292082871	0.0463267245243577	0	0
9/28/2001	38.0998849977578	13.3079158818549	4.77772685811729E-26	0	0	0	1.36030359962625	0.0847934763264347	0	0.028381120785893	0	0
9/29/2001	38.0444874838855	13.2972793796156	2.16908463783002E-30	0	0	0	1.2519836291856	0.00867977578519527	0	0.0174323664571708	0	0
9/30/2001	37.986119442519	13.2851525498873	9.8476290206584E-35	0	0	0	1.17608844164987	0.00815360905865148	0	0.0107327550523355	0	0
10/1/2001	37.9258068558528	13.2719034526182	4.47081665865515E-39	0	0	0	1.08576378732003	0.00752740532397123	0	0.00662235671702872	0	0
10/2/2001	37.8642248115625	13.2578107753534	2.0297476228402E-43	0	0	0	1.03008297966245	0.00714138105257602	0	0.004094424306617	0	0
10/3/2001	37.8018241585129	13.243085796132	9.21503995125186E-48	0	0	0	1.00178393934703	0.00694518961854526	0	0.00253626744691312	0	0
10/4/2001	37.7389103612182	13.2278888733769	4.18362166545379E-52	0	0	0	0.99131193966215	0.00687258985733911	0	0.00157387532595913	0	0
10/5/2001	60.2893007512943	13.218025462348	0.0830356796836387	0.0328889912792643	0.105294506003949	0	1.04692323486731	1.04692323486731	7.83796772221679	1.41162931430684	0	10.78037922
10/6/2001	37.7752846334246	13.2290448963951	3.76981402542234E-06	0	0	0	1.03211350881475	1.01214301900309	6.80585332432129	0.836487686192904	0	0
