 ------------------------------------------------------------------------------
 ----- WATER ------------------------------------------------------------------
 ------------------------------------------------------------------------------
User:	rlulery
Date:	6/27/2013 11:49:57 AM
StationID:	0
Date	Discharge (cfs)	Subsurface Flow (cfs)	Impervious Flow (mm)	Infiltration Excess (mm)	Initial Abstracted Flow (mm)	Overland Flow (mm)	PET (mm)	AET(mm)	Average Soil Root zone (mm)	Average Soil Upperzone (mm)	Snow Pack (mm)	Precipitation (mm)
10/28/2010	29.3828836804629	26.7384957458079	2.03174949276966E-10	0	0	0	0.908320734927443	0.895608795199062	26.2017973909977	1.22393004254679	0	0
10/29/2010	29.3443964346907	26.7013247525153	9.22412842667055E-15	0	0	0	0.88307712409006	0.870718463363308	25.3187329470989	0.802474064845904	0	0
10/30/2010	29.2780685196322	26.6411447318823	4.1877478269102E-19	0	0	0	0.844318842056398	0.832502598471057	24.4744265628366	0.528655282255601	0	0
10/31/2010	29.1913662880159	26.5636039530804	1.90123457204896E-23	0	0	0	0.862136434525617	0.850070828751138	23.6123031897859	0.349663910366935	0	0
11/1/2010	29.089735546074	26.473009863165	8.63159160329898E-28	0	0	0	0.818771983118802	0.807313258466153	22.793543934268	0.232077688245458	0	0
11/2/2010	28.9771926597828	26.3726578033596	3.91873652528119E-32	0	0	0	0.756233100048749	0.745649603557691	22.0373228874401	0.154507064999304	0	0
11/3/2010	28.856723896368	26.265073762479	1.77910363005425E-36	0	0	0	0.681822148637543	0.672280030922731	21.3555118737637	0.103148586557062	0	0
11/4/2010	28.7305636244127	26.1521966404674	8.07711798446434E-41	0	0	0	0.600454271327817	0.592050895638441	20.7550676435746	0.0690356068689956	0	0
11/5/2010	28.5622117557715	25.9792537523905	0.000650303675486706	0	0.0102783418106833	0	0.5471735147664	0.5471735147664	21.3880315240033	0.175500593606952	0	1.32809365
11/6/2010	28.4707424008521	25.9188015220112	2.95237411913525E-08	0	0	0	0.503936724544699	0.496884109143622	20.8841036186279	0.114616417361088	0	0
11/7/2010	28.342297561335	25.8030309202277	1.34037577641351E-12	0	0	0	0.514463311233374	0.507263372927018	20.3696495094236	0.0754048617877034	0	0
11/8/2010	28.2111537732066	25.6848608163461	6.08529661044428E-17	0	0	0	0.529170200920889	0.521764436047352	19.8404889767126	0.0498675369922792	0	0
11/9/2010	28.0783085521643	25.5651243775743	2.76272038697915E-21	0	0	0	0.532984304152619	0.52552515774907	19.3075146137014	0.0331177151371243	0	0
11/10/2010	27.9444949766461	25.4444547826433	1.25427311522208E-25	0	0	0	0.522420851657133	0.515109538512596	18.7851037039195	0.0220718436132406	0	0
11/11/2010	27.8102577292455	25.3233347620162	5.69439113340125E-30	0	0	0	0.520754337435401	0.513466344421682	18.2643594721797	0.0147554175298139	0	0
11/12/2010	27.6760037753728	25.2021325852479	2.58524957496224E-34	0	0	0	0.512105426123442	0.504938472452573	17.7522641744833	0.0098912457267301	0	0
11/13/2010	27.4980359403787	25.0241289164944	0.000507239651208775	0	0.00911019064144379	0	0.510879443431774	0.510879443431774	18.3093404890472	0.123212544665496	0	1.1981069652
11/14/2010	27.4116207222233	24.9630808239075	2.30286445376295E-08	0	0	0	0.48234115686838	0.475938481959302	17.8518563865004	0.0798108910668783	0	0.024847161
11/15/2010	27.2841046843156	24.8475224284642	1.04549884453476E-12	0	0	0	0.503250711267183	0.496207671994581	17.3486161787497	0.052158859100354	0	0
11/16/2010	85.1142637944307	24.7455767853782	0.289583233712767	1.25683769100522	0.121635641480378	0	0.533985154137592	0.533985154137592	39.87524915239	4.83760726618528	0	29.91865403
11/17/2010	27.2204499858988	24.7752492840749	1.31470584709344E-05	0	0	0	0.532921588080701	0.525463296727452	39.3423390636459	3.13283878639039	0	0
11/18/2010	29.8519459983891	24.8577986203534	0.0531141143194596	0.0141286075068771	0.0222340739535318	0	0.529943948826913	0.529943948826913	40.1313608641969	6.03804051799221	0	5.914146438
11/19/2010	27.4109757108137	24.9207489764195	2.41137705949829E-06	0	0	0	0.509058461370115	0.501934131807267	39.6223137363268	3.92203066234336	0	0
11/20/2010	27.5641866214755	25.0455830413607	1.09476349132193E-10	0	0	0	0.529447050651922	0.522037377951343	39.0928786500549	2.5656926577886	0	0
11/21/2010	27.6462007565387	25.1141802259652	4.97021856124615E-15	0	0	0	0.572301602034465	0.564292172202952	38.5205901685478	1.68724306287852	0	0
11/22/2010	27.6752960765929	25.1394388430022	2.25647573585142E-19	0	0	0	0.579349403257096	0.573001382745773	38.0670186936381	1.1143667517651	0	0.12576446
11/23/2010	49.8291005071714	25.1783545541001	0.118175725738248	0.471924191056154	0.0955202412302489	0	0.576465799026753	0.576465799026753	40.1313608641969	11.9340107156066	0	15.8465465
11/24/2010	73.6040807172252	25.6478203997683	0.285580648392488	0.924161619326206	0.121248162088635	0	0.616452238570698	0.616452238570698	40.1313608641969	31.6954298934501	0	29.6870354
11/25/2010	284.537782019055	27.2281811097547	0.670158313980727	6.11950987251874	0.0301817905005693	0	0.592982077328694	0.592982077328694	40.1313608641969	54.6640980230301	0	50.637170947
11/26/2010	31.7683797747768	28.573008448748	3.04251403844332E-05	0	0	0	0.568368438604674	0.560805503319691	39.5909783243888	35.0979743521584	0	0.027971996
11/27/2010	34.939470362019	31.2374614039283	1.38129923646717E-09	0	0	0	0.528224694926525	0.520832112755185	39.062766700098	22.6020807150895	0	0
11/28/2010	37.4678388607003	33.414504542023	6.27108883165716E-14	0	0	0	0.535180243041143	0.527690314813687	38.5275998469615	14.5986087457729	0	0
11/29/2010	60.2903875018437	35.9607615625989	0.182322174133507	0.349888449709943	0.0274180430806194	0	0.580946745153955	0.580946745153955	40.1313608641969	19.7159296130792	0	15.5685779
11/30/2010	99.69508977284	37.8586150592442	0.384301658405259	1.01244979506713	0.0293062505106024	0	0.545548588781289	0.545548588781289	40.1313608641969	37.1307892287472	0	30.100644788
12/1/2010	45.5079524959416	39.1467161577249	1.74472682992096E-05	0	0	0	0.476832595924766	0.470159246483792	39.6545405654766	23.5005302872993	0	0
12/2/2010	47.763576088649	42.0163717551231	7.92104755330671E-10	0	0	0	0.443502461139117	0.437295570805761	39.2110496471883	14.9604063690592	0	0
12/3/2010	51.0734635309912	45.0167347924212	0.00116106165233258	0	0.00549890068004967	0	0.440323128042697	0.440323128042697	39.5961804417617	10.4877477133369	0	0.91622769
